name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Dingo Pup Donga,7647,Valid,Ureilite,122.7,Found,1965,-30.43333,126.1,"(-30.43333, 126.1)"
Erie,10045,Valid,L6,3300,Found,1965,40.03167,-105.05667,"(40.03167, -105.05667)"
Etter,10062,Valid,L5,450000,Found,1965,35.98333,-101.9,"(35.98333, -101.9)"
Eva,10066,Valid,H5,6700,Found,1965,36.81667,-101.90833,"(36.81667, -101.90833)"
Ferintosh,10090,Valid,OC,2201,Found,1965,52.8,-112.98333,"(52.8, -112.98333)"
Guangyuan,11438,Valid,Iron,,Found,1965,32.4,105.9,"(32.4, 105.9)"
Hamilton (Texas),11484,Valid,OC,2700,Found,1965,31.59333,-98.25,"(31.59333, -98.25)"
Hautes Fagnes,52854,Valid,LL5,185,Found,1965,50.58333,6.16667,"(50.58333, 6.16667)"
Hebron,11867,Valid,H6,21820,Found,1965,40.16667,-97.6,"(40.16667, -97.6)"
Hejing,11871,Valid,Iron,,Found,1965,42.4,86.3,"(42.4, 86.3)"
Johnny's Donga,12196,Valid,Unknown,,Found,1965,-30.33333,126.36667,"(-30.33333, 126.36667)"
Kabakly,12219,Valid,H4,71.6,Found,1965,39.76667,62.51667,"(39.76667, 62.51667)"
Kaffir (a),12223,Valid,L5,1874.9,Found,1965,34.62333,-101.91667,"(34.62333, -101.91667)"
Kapunda,12254,Valid,Iron: IIIAB,542,Found,1965,-34.31667,138.93333,"(-34.31667, 138.93333)"
Kinley,12319,Valid,L6,2000,Found,1965,52.04667,-107.23333,"(52.04667, -107.23333)"
Kyle,12389,Valid,L6,7780,Found,1965,29.975,-97.86667,"(29.975, -97.86667)"
Little River (b),14666,Valid,H4/5,11700,Found,1965,38.44,-98.06667,"(38.44, -98.06667)"
Lone Star,14682,Valid,H4,4300,Found,1965,34.25972,-101.40833,"(34.25972, -101.40833)"
Lucerne Valley 009,14733,Valid,H4,3,Found,1965,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 010,14734,Valid,H4,6.4,Found,1965,34.5,-116.95,"(34.5, -116.95)"
McCook,15459,Valid,L6,3602,Found,1965,40.02,-100.78333,"(40.02, -100.78333)"
Monturaqui,16731,Valid,Iron: IAB?,2000,Found,1965,-23.93333,-68.28333,"(-23.93333, -68.28333)"
Moorabie,16735,Valid,L3.8-an,14040,Found,1965,-30.01667,141.06667,"(-30.01667, 141.06667)"
New York,55760,Valid,Iron: IIIAB,2950,Found,1965,0,0,"(0.0, 0.0)"
Norristown,16997,Valid,Iron: IIIAB,4200,Found,1965,32.51667,-82.55,"(32.51667, -82.55)"
Pannikin,18097,Valid,L6,13.6,Found,1965,-32.04167,126.18333,"(-32.04167, 126.18333)"
Post,18877,Valid,L,2000,Found,1965,33.11667,-101.38333,"(33.11667, -101.38333)"
River,22612,Valid,L5,190.5,Found,1965,-30.36667,126.01667,"(-30.36667, 126.01667)"
Seminole (b),23489,Valid,H4,1184,Found,1965,32.54333,-102.705,"(32.54333, -102.705)"
Severny Kolchim,23507,Valid,H3,1390,Found,1965,60.5,57,"(60.5, 57.0)"
Southern Michigan,23684,Valid,Iron,49,Found,1965,,,
Springer,23688,Valid,H5,8143,Found,1965,36.34611,-97.185,"(36.34611, -97.185)"
St. Lawrence,23088,Valid,LL6,2600,Found,1965,31.73333,-101.505,"(31.73333, -101.505)"
Thurman,23980,Valid,OC,1959,Found,1965,39.52167,-103.16667,"(39.52167, -103.16667)"
Tierra Blanca,23988,Valid,Winonaite,860,Found,1965,34.93333,-102.01667,"(34.93333, -102.01667)"
Tishomingo,24010,Valid,Iron: ungrouped,260000,Found,1965,34.25,-96.68333,"(34.25, -96.68333)"
Verissimo,24163,Valid,Iron: IIIAB,14000,Found,1965,-19.73333,-48.31667,"(-19.73333, -48.31667)"
Wallareenya,24207,Valid,Iron: IIIAB,4386,Found,1965,-20.66667,118.83333,"(-20.66667, 118.83333)"
Wikieup,24260,Valid,H5,372,Found,1965,34.7,-113.6,"(34.7, -113.6)"
Wilbia,24261,Valid,H5,94,Found,1965,-26.45,131,"(-26.45, 131.0)"
Yayjinna,30359,Valid,L6,262.5,Found,1965,-32.03333,126.175,"(-32.03333, 126.175)"
Chitado,5356,Valid,L6,,Fell,1966,-17.35,13.96667,"(-17.35, 13.96667)"
Pavel,18173,Valid,H5,2968,Fell,1966,43.46667,25.51667,"(43.46667, 25.51667)"
Saint-S̩verin,23102,Valid,LL6,271000,Fell,1966,45.3,0.23333,"(45.3, 0.23333)"
Seoni,23500,Valid,H6,20000,Fell,1966,21.68389,79.50083,"(21.68389, 79.50083)"
Umm Ruaba,24118,Valid,L5,1700,Fell,1966,13.46667,31.21667,"(13.46667, 31.21667)"
Albion,457,Valid,Iron: IVA,12280,Found,1966,46.83333,-117.25,"(46.83333, -117.25)"
Avoca (Western Australia),4909,Valid,Iron: IIIAB,37850,Found,1966,-30.85,122.31667,"(-30.85, 122.31667)"
Burrika,5176,Valid,L6,20.4,Found,1966,-31.96667,125.83333,"(-31.96667, 125.83333)"
Cardanumbi,5268,Valid,L5,6.4,Found,1966,-32.1,125.68333,"(-32.1, 125.68333)"
Coorara,5439,Valid,L6,116.7,Found,1966,-30.45,126.1,"(-30.45, 126.1)"
Elba,7821,Valid,H5,4175,Found,1966,39.83333,-103.21667,"(39.83333, -103.21667)"
Faucett,10077,Valid,H5,100000,Found,1966,39.61667,-94.86667,"(39.61667, -94.86667)"
Floyd,10113,Valid,L4,13000,Found,1966,34.19333,-103.575,"(34.19333, -103.575)"
Hamilton (Queensland),11483,Valid,L6,68000,Found,1966,-28.48333,148.25,"(-28.48333, 148.25)"
Inman,12036,Valid,L/LL3.4,7250,Found,1966,38.25,-97.66667,"(38.25, -97.66667)"
Kaffir (b),12224,Valid,H4,3500,Found,1966,34.67167,-101.815,"(34.67167, -101.815)"
Kramer Creek,12354,Valid,L4,2300,Found,1966,38.3925,-104.17667,"(38.3925, -104.17667)"
Kress (b),12359,Valid,L4,2600,Found,1966,34.35833,-101.73,"(34.35833, -101.73)"
Palermo,18076,Valid,Unknown,,Found,1966,-34.55,-58.43333,"(-34.55, -58.43333)"
Pep,18791,Valid,OC,591,Found,1966,33.73,-102.57667,"(33.73, -102.57667)"
Skiff,23622,Valid,H4,3540,Found,1966,49.25,-111.86667,"(49.25, -111.86667)"
Sleeper Camp 002,23628,Valid,Iron,39.5,Found,1966,-30.48333,126.25,"(-30.48333, 126.25)"
Timmersoi,24002,Valid,L5,516,Found,1966,18.91667,6.25,"(18.91667, 6.25)"
Wellman (d),24240,Valid,H,1615,Found,1966,33.01667,-102.36667,"(33.01667, -102.36667)"
Yocemento,30364,Valid,L4,5920,Found,1966,38.9,-99.43333,"(38.9, -99.43333)"
Zhigansk,30405,Valid,Iron: IIIAB,900000,Found,1966,68,128.3,"(68.0, 128.3)"
Denver,6660,Valid,L6,230,Fell,1967,39.7825,-104.93056,"(39.7825, -104.93056)"
Kingai,12316,Valid,H6,67.4,Fell,1967,11.63333,24.68333,"(11.63333, 24.68333)"
Niger (L6),16974,Valid,L6,3.3,Fell,1967,,,
Niger (LL6),16975,Valid,LL6,3.3,Fell,1967,,,
Parambu,18102,Valid,LL5,2000,Fell,1967,-6.23333,-40.7,"(-6.23333, -40.7)"
Tathlith,23885,Valid,L6,2500,Fell,1967,19.38333,43.73333,"(19.38333, 43.73333)"
Tugalin-Bulen,24062,Valid,H6,10000,Fell,1967,45.46667,105.38333,"(45.46667, 105.38333)"
Vilna,24183,Valid,L5,0.1,Fell,1967,54.225,-111.69167,"(54.225, -111.69167)"
Wiluna,24281,Valid,H5,150000,Fell,1967,-26.59278,120.32833,"(-26.59278, 120.32833)"
Armel,2336,Valid,L5,9200,Found,1967,39.76667,-102.13333,"(39.76667, -102.13333)"
Baandee,4914,Valid,H6,256.3,Found,1967,-31.61667,118.03333,"(-31.61667, 118.03333)"
Caldera,5196,Valid,Eucrite-mmict,500,Found,1967,-27.05,-70.8,"(-27.05, -70.8)"
Cope (b),5441,Valid,H5,817,Found,1967,39.68333,-102.845,"(39.68333, -102.845)"
Credo,5468,Valid,L6,10820,Found,1967,-30.36667,120.73333,"(-30.36667, 120.73333)"
Doolgunna,7710,Valid,L,20,Found,1967,-25.93333,119.3,"(-25.93333, 119.3)"
Enigma,10036,Valid,H4,94,Found,1967,31.33333,-82.31667,"(31.33333, -82.31667)"
Fluvanna (a),10116,Valid,L5,9500,Found,1967,32.8,-101.11667,"(32.8, -101.11667)"
Forrest 001,10124,Valid,H5,97.7,Found,1967,-30.81667,128.21667,"(-30.81667, 128.21667)"
Georgetown,10904,Valid,H6,687,Found,1967,39.7,-105.7,"(39.7, -105.7)"
Hartley,11847,Valid,L,2100,Found,1967,35.94167,-102.16,"(35.94167, -102.16)"
Laundry East,12737,Valid,H3.7,43.1,Found,1967,-31.53333,127.1,"(-31.53333, 127.1)"
Laundry Rockhole,12738,Valid,H5,1443,Found,1967,-31.53333,127.01667,"(-31.53333, 127.01667)"
Laundry West,12739,Valid,L4,4002,Found,1967,-31.46667,126.93333,"(-31.46667, 126.93333)"
Little River (a),14665,Valid,H6,4400,Found,1967,38.38333,-98.01667,"(38.38333, -98.01667)"
Markovka,15427,Valid,H4,54200,Found,1967,52.4,79.8,"(52.4, 79.8)"
Masua,15444,Valid,Iron: IAB-sLL,1460,Found,1967,,,
Mossgiel,16758,Valid,L4,32383,Found,1967,-33.31667,144.78333,"(-33.31667, 144.78333)"
Nazareth (b),16929,Valid,L6,3600,Found,1967,34.5,-102.25,"(34.5, -102.25)"
Nova Petropolis,17928,Valid,Iron: IIIAB,305000,Found,1967,-29.43333,-50.91667,"(-29.43333, -50.91667)"
Portales (a),18871,Valid,H4,3240,Found,1967,34.06667,-103.5,"(34.06667, -103.5)"
Portales (b),18872,Valid,L6,595.8,Found,1967,34.06667,-103.5,"(34.06667, -103.5)"
Portales (c),18873,Valid,H4,6000,Found,1967,34.1,-103.41667,"(34.1, -103.41667)"
Seminole (c),23490,Valid,H4,1711,Found,1967,32.55,-102.39167,"(32.55, -102.39167)"
Seymchan,23510,Valid,Pallasite: PMG,323300,Found,1967,62.9,152.43333,"(62.9, 152.43333)"
Tarlton,23880,Valid,H4,226.5,Found,1967,39.32,-82.37,"(39.32, -82.37)"
Tiberrhamine,23985,Valid,L6,107000,Found,1967,28.11667,0.53333,"(28.11667, 0.53333)"
Zerhamra,30403,Valid,Iron: IIIAB-an,630000,Found,1967,29.85861,-2.645,"(29.85861, -2.645)"
Awere,4910,Valid,L4,134,Fell,1968,2.71667,32.83333,"(2.71667, 32.83333)"
Juromenha,12213,Valid,Iron: IIIAB,25250,Fell,1968,38.74028,-7.27,"(38.74028, -7.27)"
Piancaldoli,18813,Valid,LL3.4,13.1,Fell,1968,44.24417,11.50222,"(44.24417, 11.50222)"
San Pedro Jacuaro,34063,Valid,LL6,460,Fell,1968,19.76667,-100.65,"(19.76667, -100.65)"
Schenectady,23458,Valid,H5,283.3,Fell,1968,42.86083,-73.95028,"(42.86083, -73.95028)"
Akhricha,428,Valid,H,1760,Found,1968,28.4625,1.025,"(28.4625, 1.025)"
Bethel (a),5030,Valid,OC,18.3,Found,1968,34.23333,-103.38333,"(34.23333, -103.38333)"
Bethel (b),5031,Valid,H4,56.8,Found,1968,34.24667,-103.395,"(34.24667, -103.395)"
Boaz (stone),5091,Valid,H5,1800,Found,1968,33.65167,-103.70833,"(33.65167, -103.70833)"
Boolka,5108,Valid,H5,12000,Found,1968,-30.06667,141.06667,"(-30.06667, 141.06667)"
Dalhart,5508,Valid,H5,4400,Found,1968,36.04333,-102.40833,"(36.04333, -102.40833)"
Delphos (a),6645,Valid,L4,1244.7,Found,1968,34.08333,-103.525,"(34.08333, -103.525)"
Delphos (b),6646,Valid,OC,548,Found,1968,34.09,-103.61167,"(34.09, -103.61167)"
Elida (a),10014,Valid,L6,936.8,Found,1968,33.78333,-103.57667,"(33.78333, -103.57667)"
Elida (b),10015,Valid,OC,537.8,Found,1968,33.91667,-103.51833,"(33.91667, -103.51833)"
Elida (c),10016,Valid,H5,385.5,Found,1968,33.79,-103.56333,"(33.79, -103.56333)"
Fenbark,10085,Valid,H5,1861,Found,1968,-30.44028,121.25694,"(-30.44028, 121.25694)"
Gunnadorah,11454,Valid,H5,19.7,Found,1968,-31,125.93333,"(-31.0, 125.93333)"
Idalia,11998,Valid,H,7400,Found,1968,39.695,-102.295,"(39.695, -102.295)"
Kalvesta,12237,Valid,H4,10000,Found,1968,38.08333,-100.25,"(38.08333, -100.25)"
Kivesvaara,12328,Valid,CM2,164,Found,1968,64.45,27.56667,"(64.45, 27.56667)"
Leslie,12771,Valid,H5,895,Found,1968,34.61139,-100.855,"(34.61139, -100.855)"
Loxton,14719,Valid,L5,22,Found,1968,-34.45,140.56667,"(-34.45, 140.56667)"
Lucerne Valley 011,14735,Valid,L6,3.8,Found,1968,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 012,14736,Valid,H6,1.2,Found,1968,34.5,-116.95,"(34.5, -116.95)"
Mokrousovo,16714,Valid,L/LL4/5,789.2,Found,1968,55.9,66.7,"(55.9, 66.7)"
Motpena (a),16760,Valid,L6,8810,Found,1968,-31.1,138.26667,"(-31.1, 138.26667)"
Nallah,16900,Valid,H,4.62,Found,1968,-31.96667,126.25,"(-31.96667, 126.25)"
Nazareth (d),16931,Valid,H6,1500,Found,1968,34.58333,-102.08333,"(34.58333, -102.08333)"
Nazareth (iron),16933,Valid,Iron: IIIAB,11310,Found,1968,34.52667,-102.105,"(34.52667, -102.105)"
Oak,17971,Valid,L5,75.3,Found,1968,-31.58333,127.7,"(-31.58333, 127.7)"
Oasis State Park,17974,Valid,OC,606,Found,1968,34.22833,-103.35833,"(34.22833, -103.35833)"
Paso Rio Mayo,18111,Valid,Unknown,,Found,1968,,,
Quinyambie,22365,Valid,LL3.6,1638,Found,1968,-30.15,140.98333,"(-30.15, 140.98333)"
Roosevelt County 001,22656,Valid,H3.8,462,Found,1968,33.78333,-103.56667,"(33.78333, -103.56667)"
Roosevelt County 032,22687,Valid,H5,141.1,Found,1968,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 033,22688,Valid,L4,21.8,Found,1968,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 034,22689,Valid,H5,118.5,Found,1968,34.08333,-103.61667,"(34.08333, -103.61667)"
Roosevelt County 035,22690,Valid,L6,81.6,Found,1968,34.08333,-103.61667,"(34.08333, -103.61667)"
Roosevelt County 036,22691,Valid,H5,65.2,Found,1968,34.08333,-103.61667,"(34.08333, -103.61667)"
Roosevelt County 037,22692,Valid,H4/5,94.3,Found,1968,34.08333,-103.51667,"(34.08333, -103.51667)"
Roosevelt County 038,22693,Valid,H5,49.4,Found,1968,34.3,-103.45,"(34.3, -103.45)"
Roosevelt County 058,22713,Valid,L4,12,Found,1968,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 059,22714,Valid,L6,26.2,Found,1968,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 060,22715,Valid,H5,34.2,Found,1968,34.08333,-103.61667,"(34.08333, -103.61667)"
Roosevelt County 061,22716,Valid,H5,49.5,Found,1968,34.08333,-103.51667,"(34.08333, -103.51667)"
Roosevelt County 080,22735,Valid,H6,727.8,Found,1968,34.05,-103.5,"(34.05, -103.5)"
Saint-Aubin,23096,Valid,Iron: IIIAB,472000,Found,1968,48.48333,3.58333,"(48.48333, 3.58333)"
Smyer,23655,Valid,H6,3273,Found,1968,33.58333,-102.16667,"(33.58333, -102.16667)"
Tres Estacas,24048,Valid,OC,150000,Found,1968,,,
Tsarev,24058,Valid,L5,1225300,Found,1968,48.7,45.7,"(48.7, 45.7)"
Webb,24228,Valid,L6,410.5,Found,1968,-31.69167,127.78333,"(-31.69167, 127.78333)"
Wildara,24265,Valid,H5,500000,Found,1968,-28.23333,120.85,"(-28.23333, 120.85)"
Wynyard,24344,Valid,H5,3479,Found,1968,51.88333,-104.18333,"(51.88333, -104.18333)"
Allende,2278,Valid,CV3,2000000,Fell,1969,26.96667,-105.31667,"(26.96667, -105.31667)"
Andreevka,2296,Valid,L3,600,Fell,1969,48.7,37.5,"(48.7, 37.5)"
Bovedy,5121,Valid,L3,5460,Fell,1969,54.56667,-6.33333,"(54.56667, -6.33333)"
Murchison,16875,Valid,CM2,100000,Fell,1969,-36.61667,145.2,"(-36.61667, 145.2)"
Patora,18112,Valid,H6,4375,Fell,1969,20.93694,82.05,"(20.93694, 82.05)"
Suchy Dul,23737,Valid,L6,815.3,Fell,1969,50.53806,16.26333,"(50.53806, 16.26333)"
Aprel'sky,2319,Valid,Iron: IIIAB,54600,Found,1969,53.3,126.11667,"(53.3, 126.11667)"
Ashmore,2349,Valid,H5,55400,Found,1969,32.9,-102.28333,"(32.9, -102.28333)"
Bench Crater,5013,Valid,C1-ung,,Found,1969,,,
Benjamin,5020,Valid,H4/5,51800,Found,1969,33.58333,-99.8,"(33.58333, -99.8)"
Bou Hadid,5118,Valid,L,374,Found,1969,28.3125,0.23333,"(28.3125, 0.23333)"
Buenaventura,5162,Valid,Iron: IIIAB,113600,Found,1969,29.8,-107.55,"(29.8, -107.55)"
De Kalb,6623,Valid,H,566,Found,1969,39.59167,-94.92194,"(39.59167, -94.92194)"
Delphos (d),6648,Valid,H5,276,Found,1969,34.05,-103.55,"(34.05, -103.55)"
Edjudina,7766,Valid,H4,4480,Found,1969,-29.58639,122.18167,"(-29.58639, 122.18167)"
Garrison,10864,Valid,H5,5116,Found,1969,33.86333,-103.34667,"(33.86333, -103.34667)"
Glasston,10928,Valid,L5,1990,Found,1969,48.71667,-97.3,"(48.71667, -97.3)"
Gobabeb,10939,Valid,H4,27000,Found,1969,-23.55,15.03333,"(-23.55, 15.03333)"
Grier (a),11202,Valid,OC,12.4,Found,1969,34.38167,-103.39167,"(34.38167, -103.39167)"
Grier (b),11203,Valid,L5-7,929.4,Found,1969,34.26667,-103.38333,"(34.26667, -103.38333)"
Guin,11445,Valid,Iron: ungrouped,34500,Found,1969,33.96667,-87.91667,"(33.96667, -87.91667)"
Ikhrarene,12005,Valid,L4,5465,Found,1969,28.60417,1.04167,"(28.60417, 1.04167)"
Leoville (b),12767,Valid,OC,2500,Found,1969,39.60833,-100.475,"(39.60833, -100.475)"
Menindee Lakes 001,15479,Valid,L6,747,Found,1969,-33.16667,141.75,"(-33.16667, 141.75)"
Menindee Lakes 002,15480,Valid,H5,270,Found,1969,-32.91667,141.88333,"(-32.91667, 141.88333)"
Menindee Lakes 003,15481,Valid,L6,172,Found,1969,-32.91667,141.88333,"(-32.91667, 141.88333)"
Menindee Lakes 004,15482,Valid,L6,158.5,Found,1969,-33.13333,141.71667,"(-33.13333, 141.71667)"
Menindee Lakes 005,15483,Valid,H5,72.9,Found,1969,-32.91667,141.88333,"(-32.91667, 141.88333)"
Menindee Lakes 006,15484,Valid,H6,68.2,Found,1969,-32.91667,141.88333,"(-32.91667, 141.88333)"
Myersville,16886,Valid,OC,5397,Found,1969,28.95,-97.40278,"(28.95, -97.40278)"
Niger (C2),16973,Valid,CM2,20,Found,1969,,,
North East Reid,17002,Valid,H5,38.6,Found,1969,-30.03333,129.01667,"(-30.03333, 129.01667)"
North Forrest,17003,Valid,H5,608.9,Found,1969,-30.5,128.1,"(-30.5, 128.1)"
North Reid,17006,Valid,LL5,308.7,Found,1969,-30,128.91667,"(-30.0, 128.91667)"
North West Forrest (H),17008,Valid,H4,238.4,Found,1969,-30.76667,128.01667,"(-30.76667, 128.01667)"
Oufrane,18051,Valid,L,540,Found,1969,28.29583,0.025,"(28.29583, 0.025)"
Panhandle,18096,Valid,H5,1360,Found,1969,35.33333,-101.38333,"(35.33333, -101.38333)"
Park,18104,Valid,L6,13000,Found,1969,39.11,-100.36167,"(39.11, -100.36167)"
Redfields,22551,Valid,Iron: ungrouped,8740,Found,1969,-30.71667,116.5,"(-30.71667, 116.5)"
Reid,22556,Valid,H5,144.1,Found,1969,-30.06667,128.98333,"(-30.06667, 128.98333)"
Roosevelt County 039,22694,Valid,H5,38,Found,1969,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 040,22695,Valid,H5,71.1,Found,1969,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 041,22696,Valid,L5,32.4,Found,1969,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 042,22697,Valid,H5,32.6,Found,1969,34.08333,-103.51667,"(34.08333, -103.51667)"
Roosevelt County 043,22698,Valid,H4/5,52.1,Found,1969,34.08333,-103.61667,"(34.08333, -103.61667)"
Roosevelt County 062,22717,Valid,H5,16.2,Found,1969,34.21667,-103.5,"(34.21667, -103.5)"
Roosevelt County 063,22718,Valid,L4,34.7,Found,1969,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 064,22719,Valid,H5,24.8,Found,1969,34.08333,-103.5,"(34.08333, -103.5)"
Roosevelt County 081,22736,Valid,H5,522.2,Found,1969,33.63333,-103.16667,"(33.63333, -103.16667)"
Roosevelt County 082,22737,Valid,H4,137,Found,1969,34.08333,-103.56667,"(34.08333, -103.56667)"
Roosevelt County 083,22738,Valid,H5,14.8,Found,1969,33.66667,-103.41667,"(33.66667, -103.41667)"
Roosevelt County 084,22739,Valid,L4,69.6,Found,1969,34.2,-103.23333,"(34.2, -103.23333)"
Roosevelt County 085,22740,Valid,L4,140,Found,1969,34.31667,-103.38333,"(34.31667, -103.38333)"
